Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,0.9361,-0.0044,0.9405,0.9417,0.935,978434,N.A.
13DEC2022_00:00:00.000000,,,,,,,
17:00 - 17:05,0.9405,0,0.9405,0.9405,0.9404,1215,N.A.
17:05 - 17:10,0.9407,0.0002,0.9405,0.9408,0.9404,1911,N.A.
17:10 - 17:15,0.9407,0,0.9407,0.9408,0.9407,2246,N.A.
17:15 - 17:20,0.9403,-0.0004,0.9407,0.9407,0.9403,2506,N.A.
17:20 - 17:25,0.9403,0,0.9403,0.9403,0.9403,2220,N.A.
17:25 - 17:30,0.9403,0,0.9403,0.9403,0.9403,2279,N.A.
17:30 - 17:35,0.9405,0.0002,0.9403,0.9406,0.9403,4911,N.A.
17:35 - 17:40,0.9407,0.0002,0.9405,0.9407,0.9404,2897,N.A.
17:40 - 17:45,0.9406,-0.0001,0.9407,0.9407,0.9406,2929,N.A.
17:45 - 17:50,0.9406,0,0.9406,0.9407,0.9405,2812,N.A.
17:50 - 17:55,0.9405,-0.0001,0.9406,0.9406,0.9405,2463,N.A.
17:55 - 18:00,0.9404,-0.0001,0.9405,0.9405,0.9403,2589,N.A.
18:00 - 18:05,0.9405,0.0001,0.9404,0.9406,0.9403,2689,N.A.
18:05 - 18:10,0.9402,-0.0003,0.9405,0.9405,0.9402,2538,N.A.
18:10 - 18:15,0.9412,0.001,0.9402,0.9412,0.9402,3442,N.A.
18:15 - 18:20,0.9413,0.0001,0.9412,0.9414,0.941,3343,N.A.
18:20 - 18:25,0.9414,0.0001,0.9413,0.9415,0.9412,2967,N.A.
18:25 - 18:30,0.9413,-0.0001,0.9414,0.9414,0.941,2703,N.A.
18:30 - 18:35,0.941,-0.0003,0.9413,0.9413,0.9409,2687,N.A.
18:35 - 18:40,0.941,0,0.941,0.941,0.9409,2471,N.A.
18:40 - 18:45,0.941,0,0.941,0.9411,0.941,2578,N.A.
18:45 - 18:50,0.9409,-0.0001,0.941,0.941,0.9409,2592,N.A.
18:50 - 18:55,0.941,0.0001,0.9409,0.941,0.9409,2519,N.A.
18:55 - 19:00,0.9412,0.0002,0.941,0.9412,0.941,2603,N.A.
19:00 - 19:05,0.9408,-0.0004,0.9412,0.9413,0.9408,3128,N.A.
19:05 - 19:10,0.9406,-0.0002,0.9408,0.9409,0.9406,2830,N.A.
19:10 - 19:15,0.9406,0,0.9406,0.9407,0.9404,2744,N.A.
19:15 - 19:20,0.9405,-0.0001,0.9406,0.9406,0.9404,2643,N.A.
19:20 - 19:25,0.941,0.0005,0.9405,0.941,0.9405,2812,N.A.
19:25 - 19:30,0.941,0,0.941,0.9413,0.941,3029,N.A.
19:30 - 19:35,0.941,0,0.941,0.941,0.9408,2866,N.A.
19:35 - 19:40,0.941,0,0.941,0.941,0.9408,2912,N.A.
19:40 - 19:45,0.9407,-0.0003,0.941,0.9411,0.9407,2917,N.A.
19:45 - 19:50,0.9409,0.0002,0.9407,0.941,0.9406,2883,N.A.
19:50 - 19:55,0.9405,-0.0004,0.9409,0.9409,0.9404,3211,N.A.
19:55 - 20:00,0.9402,-0.0003,0.9405,0.9405,0.94,3347,N.A.
20:00 - 20:05,0.9402,0,0.9402,0.9406,0.9399,3461,N.A.
20:05 - 20:10,0.9404,0.0002,0.9402,0.9406,0.9402,3076,N.A.
20:10 - 20:15,0.9403,-0.0001,0.9404,0.9406,0.9403,2898,N.A.
20:15 - 20:20,0.9403,0,0.9403,0.9404,0.9401,3180,N.A.
20:20 - 20:25,0.9403,0,0.9403,0.9404,0.9402,3169,N.A.
20:25 - 20:30,0.9406,0.0003,0.9403,0.9406,0.9402,3045,N.A.
20:30 - 20:35,0.9403,-0.0003,0.9406,0.9406,0.9402,3219,N.A.
20:35 - 20:40,0.9402,-0.0001,0.9403,0.9403,0.94,3076,N.A.
20:40 - 20:45,0.9405,0.0003,0.9402,0.9406,0.94,3067,N.A.
20:45 - 20:50,0.9405,0,0.9405,0.9405,0.9403,2944,N.A.
20:50 - 20:55,0.9404,-0.0001,0.9405,0.9405,0.9403,2876,N.A.
20:55 - 21:00,0.9403,-0.0001,0.9404,0.9405,0.9402,2923,N.A.
21:00 - 21:05,0.9404,0.0001,0.9403,0.9405,0.9402,3018,N.A.
21:05 - 21:10,0.9402,-0.0002,0.9404,0.9404,0.94,3016,N.A.
21:10 - 21:15,0.9404,0.0002,0.9402,0.9404,0.9402,2941,N.A.
21:15 - 21:20,0.9405,0.0001,0.9404,0.9406,0.9404,2816,N.A.
21:20 - 21:25,0.9403,-0.0002,0.9405,0.9406,0.9402,2784,N.A.
21:25 - 21:30,0.9406,0.0003,0.9403,0.9406,0.9403,2766,N.A.
21:30 - 21:35,0.9408,0.0002,0.9406,0.9409,0.9405,3014,N.A.
21:35 - 21:40,0.9407,-0.0001,0.9408,0.9409,0.9406,2907,N.A.
21:40 - 21:45,0.9409,0.0002,0.9407,0.941,0.9407,2697,N.A.
21:45 - 21:50,0.9408,-0.0001,0.9409,0.9409,0.9408,2650,N.A.
21:50 - 21:55,0.9409,0.0001,0.9408,0.941,0.9408,2825,N.A.
21:55 - 22:00,0.9409,0,0.9409,0.941,0.9409,2846,N.A.
22:00 - 22:05,0.941,0.0001,0.9409,0.941,0.9409,2601,N.A.
22:05 - 22:10,0.941,0,0.941,0.9412,0.9409,2646,N.A.
22:10 - 22:15,0.9411,0.0001,0.941,0.9412,0.941,2578,N.A.
22:15 - 22:20,0.9412,0.0001,0.9411,0.9412,0.9411,2483,N.A.
22:20 - 22:25,0.9411,-0.0001,0.9412,0.9412,0.9411,2495,N.A.
22:25 - 22:30,0.9411,0,0.9411,0.9412,0.9411,2494,N.A.
22:30 - 22:35,0.9409,-0.0002,0.9411,0.9412,0.9408,2613,N.A.
