method,sharpe,dataset,k,alpha
Lasso,,large_char,18.0,0.1
Ridge,0.5065048550813851,large_char,19.0,1000.0
Lasso,,large_char,19.0,0.1
Ridge,0.5179516028314243,large_char,20.0,1000.0
Lasso,,large_char,20.0,0.1
Ridge,0.5108022225174729,large_char,21.0,1000.0
Lasso,,large_char,21.0,0.1
Ridge,0.5234879651848833,large_char,22.0,1000.0
Lasso,,large_char,22.0,0.1
Ridge,0.5235055462815401,large_char,23.0,1000.0
Lasso,,large_char,23.0,0.1
Ridge,0.5235055462815402,large_char,24.0,1000.0
Lasso,,large_char,24.0,0.1
Ridge,0.5713365529422408,large_char,25.0,1000.0
Lasso,,large_char,25.0,0.1
Ridge,0.5718923693175201,large_char,26.0,1000.0
Lasso,,large_char,26.0,0.1
Ridge,0.5740148165903246,large_char,27.0,1000.0
Lasso,,large_char,27.0,0.1
Ridge,0.574693533178729,large_char,28.0,1000.0
Lasso,,large_char,28.0,0.1
Ridge,0.615498751869325,large_char,29.0,1000.0
Lasso,,large_char,29.0,0.1
Ridge,0.6467670366060077,large_char,30.0,1000.0
Lasso,,large_char,30.0,0.1
Ridge,0.6480006825351112,large_char,31.0,1000.0
Lasso,,large_char,31.0,0.1
Ridge,1.0200282746240277,large_char,32.0,1000.0
Lasso,,large_char,32.0,0.1
Ridge,1.025588414033409,large_char,33.0,1000.0
Lasso,,large_char,33.0,0.1
Ridge,1.026098234786084,large_char,34.0,1000.0
Lasso,,large_char,34.0,0.1
Ridge,1.0279618969725046,large_char,35.0,1000.0
Lasso,,large_char,35.0,0.1
Ridge,1.0347766458833425,large_char,36.0,1000.0
Lasso,,large_char,36.0,0.1
Ridge,1.0148372278290012,large_char,37.0,1000.0
Lasso,,large_char,37.0,0.1
Ridge,1.0105140471373804,large_char,38.0,1000.0
Lasso,,large_char,38.0,0.1
Ridge,1.0542462862296076,large_char,39.0,1000.0
Lasso,,large_char,39.0,0.1
Ridge,1.059548345937828,large_char,40.0,1000.0
Lasso,,large_char,40.0,0.1
Ridge,1.0593778615884142,large_char,41.0,1000.0
Lasso,,large_char,41.0,0.1
Ridge,1.094089215135672,large_char,42.0,1000.0
Lasso,,large_char,42.0,0.1
Ridge,1.1260202579539984,large_char,43.0,1000.0
Lasso,,large_char,43.0,0.1
