model,oos_r2
ElasticNet,0.17872582101357526
Lasso,0.14791240234603675
GBR,0.14577272305578648
RBF+Lasso,0.015741323004129004
RBF+ElasticNet,0.015741323004129004
RBF+Ridge,0.015491115024693358
PLS_RBF,-0.04831740119006378
PLS_linear,-27.572714387919454
Ridge,-436.3838897138844
OLS,-1488.1989361996448
