dataset,factor,portfolio,loading
small_char,1,MomSeason16YrPlus,0.18068546188465154
small_char,1,IntanEP,-0.17072882101521383
small_char,1,NetPayoutYield,-0.16409538051482647
small_char,1,MomSeason11YrPlus,0.16235667636850903
small_char,1,MeanRankRevGrowth,0.16028385617772353
small_char,1,VarCF,-0.1597278395392401
small_char,1,ChInvIA,-0.15857831415247722
small_char,1,NetEquityFinance,-0.15767561163038168
small_char,1,IntanSP,0.1576312269469455
small_char,1,OperProfRD,-0.15739922256892422
small_char,2,ShareVol,0.22437232558840017
small_char,2,AssetGrowth,-0.19380716070198536
small_char,2,dNoa,-0.19246701751447998
small_char,2,InvestPPEInv,-0.18709397296370073
small_char,2,NumEarnIncrease,-0.18532895218302003
small_char,2,realestate,-0.17663500957101638
small_char,2,ChEQ,-0.1756780459140754
small_char,2,CompositeDebtIssuance,-0.17454161097125184
small_char,2,NetDebtPrice,0.17213713509768
small_char,2,DelFINL,-0.1679349585547427
small_char,3,DelCOA,0.24577947170368647
small_char,3,InvGrowth,0.22916177794430023
small_char,3,DelEqu,0.21476941016977977
small_char,3,PctAcc,0.2123873037286781
small_char,3,OPLeverage,0.18997180247730064
small_char,3,ReturnSkew3F,-0.18975429359947482
small_char,3,AbnormalAccruals,0.18051095320231683
small_char,3,grcapx,0.17992296542291286
small_char,3,NOA,0.17141575821454372
small_char,3,NetDebtFinance,0.16827168966401956
small_char,4,SP,0.23333732533972537
small_char,4,zerotrade6M,0.2080471288202222
small_char,4,zerotrade12M,0.20469327764773487
small_char,4,ShareIss1Y,0.20069046092556
small_char,4,VolSD,0.19951517775804675
small_char,4,Leverage,0.19560386538373634
small_char,4,std_turn,0.18473968313236044
small_char,4,AM,0.18185301034931917
small_char,4,RDS,0.17458111171429624
small_char,4,ShareIss5Y,0.16949946851152445
small_char,5,ReturnSkew,0.22292652361624837
small_char,5,ReturnSkew3F,0.20162342323716792
small_char,5,RealizedVol,0.19868659872503538
small_char,5,MaxRet,0.1983656196582556
small_char,5,MRreversal,-0.1927275452083584
small_char,5,IdioVol3F,0.1887916329704337
small_char,5,PriceDelayRsq,-0.18727237547158038
small_char,5,VolMkt,-0.17787918546765727
small_char,5,DolVol,-0.17725957109114704
small_char,5,DelCOA,0.15161756042573396
