model,oos_r2
GBR,0.19011076922610448
ElasticNet,0.18128368635768455
Lasso,0.14249405726125564
PLS_linear,0.06794783886529965
RBF+ElasticNet,-0.010751936661315131
RBF+Lasso,-0.010751936661315131
RBF+Ridge,-0.013617115538004265
PLS_RBF,-0.03064622932273453
Ridge,-0.23875523234534435
OLS,-0.28760954953015205
