,lsret,large_char,small_char
Factor_1,7.184725978774757e-17,0.0,1.430412884756734e-17
Factor_2,1.7925799090276274e-17,3.221205633703498e-17,-3.1751293369111386e-17
Factor_3,4.242607266728743e-17,1.2830447549691186e-16,2.815666811967245e-17
Factor_4,1.3091984975481086e-16,-7.192333622908102e-17,-1.5269647526858548e-16
Factor_5,6.330690854845777e-17,-8.074540995974151e-17,3.172215099225814e-17
