Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,0.6383,-0.004,0.6423,0.6436,0.6375,40857,N.A.
24JUN2008_00:00:00.000000,,,,,,,
17:00 - 17:05,0.6423,0,0.6423,0.6423,0.6423,6,N.A.
17:05 - 17:10,0.6423,0,0.6423,0.6424,0.6423,72,N.A.
17:10 - 17:15,0.6423,0,0.6423,0.6423,0.6423,57,N.A.
17:15 - 17:20,0.6423,0,0.6423,0.6423,0.6423,23,N.A.
17:20 - 17:25,0.6423,0,0.6423,0.6424,0.6423,19,N.A.
17:25 - 17:30,0.6423,0,0.6423,0.6424,0.6423,28,N.A.
17:30 - 17:35,0.6424,0.0001,0.6423,0.6424,0.6423,45,N.A.
17:35 - 17:40,0.6424,0,0.6424,0.6424,0.6424,11,N.A.
17:40 - 17:45,0.6424,0,0.6424,0.6425,0.6424,21,N.A.
17:45 - 17:50,0.6424,0,0.6424,0.6424,0.6424,28,N.A.
17:50 - 17:55,0.6424,0,0.6424,0.6425,0.6424,65,N.A.
17:55 - 18:00,0.6423,-0.0001,0.6424,0.6424,0.6423,22,N.A.
18:00 - 18:05,0.6423,0,0.6423,0.6423,0.6422,75,N.A.
18:05 - 18:10,0.6422,-0.0001,0.6423,0.6423,0.6422,24,N.A.
18:10 - 18:15,0.6421,-0.0001,0.6422,0.6422,0.642,51,N.A.
18:15 - 18:20,0.6421,0,0.6421,0.6421,0.6421,27,N.A.
18:20 - 18:25,0.6422,0.0001,0.6421,0.6422,0.6421,41,N.A.
18:25 - 18:30,0.6421,-0.0001,0.6422,0.6422,0.6421,71,N.A.
18:30 - 18:35,0.6423,0.0002,0.6421,0.6423,0.6421,42,N.A.
18:35 - 18:40,0.6425,0.0002,0.6423,0.6425,0.6423,92,N.A.
18:40 - 18:45,0.6425,0,0.6425,0.6425,0.6424,78,N.A.
18:45 - 18:50,0.6425,0,0.6425,0.6425,0.6424,48,N.A.
18:50 - 18:55,0.6424,-0.0001,0.6425,0.6425,0.6424,55,N.A.
18:55 - 19:00,0.6423,-0.0001,0.6424,0.6424,0.6423,66,N.A.
19:00 - 19:05,0.6424,0.0001,0.6423,0.6424,0.6423,42,N.A.
19:05 - 19:10,0.6424,0,0.6424,0.6424,0.6424,35,N.A.
19:10 - 19:15,0.6423,-0.0001,0.6424,0.6424,0.6423,30,N.A.
19:15 - 19:20,0.6422,-0.0001,0.6423,0.6423,0.6422,75,N.A.
19:20 - 19:25,0.6424,0.0002,0.6422,0.6424,0.6422,67,N.A.
19:25 - 19:30,0.6422,-0.0002,0.6424,0.6424,0.6421,141,N.A.
19:30 - 19:35,0.6422,0,0.6422,0.6423,0.6422,63,N.A.
19:35 - 19:40,0.6421,-0.0001,0.6422,0.6423,0.6421,42,N.A.
