Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,134.71,-1.84,136.55,136.63,134.71,1249429,N.A.
02MAY2023_00:00:00.000000,,,,,,,
17:00 - 17:05,136.53,-0.02,136.55,136.55,136.52,2225,N.A.
17:05 - 17:10,136.57,0.04,136.53,136.57,136.53,2574,N.A.
17:10 - 17:15,136.56,-0.01,136.57,136.57,136.56,2477,N.A.
17:15 - 17:20,136.56,0,136.56,136.56,136.56,2468,N.A.
17:20 - 17:25,136.51,-0.05,136.56,136.56,136.5,2711,N.A.
17:25 - 17:30,136.54,0.03,136.51,136.54,136.51,2558,N.A.
17:30 - 17:35,136.55,0.01,136.54,136.55,136.54,2248,N.A.
17:35 - 17:40,136.56,0.01,136.55,136.56,136.54,2202,N.A.
17:40 - 17:45,136.58,0.02,136.56,136.58,136.56,2277,N.A.
17:45 - 17:50,136.56,-0.02,136.58,136.63,136.56,2599,N.A.
17:50 - 17:55,136.55,-0.01,136.56,136.59,136.54,2624,N.A.
17:55 - 18:00,136.55,0,136.55,136.56,136.54,2353,N.A.
18:00 - 18:05,136.55,0,136.55,136.57,136.53,3015,N.A.
18:05 - 18:10,136.53,-0.02,136.55,136.55,136.53,2853,N.A.
18:10 - 18:15,136.51,-0.02,136.53,136.53,136.51,2925,N.A.
18:15 - 18:20,136.48,-0.03,136.51,136.51,136.48,2826,N.A.
18:20 - 18:25,136.51,0.03,136.48,136.51,136.47,2898,N.A.
18:25 - 18:30,136.49,-0.02,136.51,136.53,136.48,3248,N.A.
18:30 - 18:35,136.52,0.03,136.49,136.54,136.49,3744,N.A.
18:35 - 18:40,136.54,0.02,136.52,136.54,136.49,2998,N.A.
18:40 - 18:45,136.51,-0.03,136.54,136.54,136.5,3518,N.A.
18:45 - 18:50,136.51,0,136.52,136.52,136.49,3480,N.A.
18:50 - 18:55,136.52,0.01,136.51,136.53,136.5,3242,N.A.
18:55 - 19:00,136.52,0,136.52,136.54,136.51,3421,N.A.
19:00 - 19:05,136.45,-0.07,136.52,136.53,136.44,3358,N.A.
19:05 - 19:10,136.43,-0.02,136.45,136.45,136.4,3197,N.A.
19:10 - 19:15,136.41,-0.02,136.43,136.43,136.41,2802,N.A.
19:15 - 19:20,136.41,0,136.41,136.41,136.39,3122,N.A.
19:20 - 19:25,136.43,0.02,136.41,136.45,136.41,3331,N.A.
19:25 - 19:30,136.41,-0.02,136.43,136.43,136.4,3129,N.A.
19:30 - 19:35,136.44,0.03,136.41,136.46,136.41,3427,N.A.
19:35 - 19:40,136.44,0,136.44,136.48,136.44,3541,N.A.
19:40 - 19:45,136.45,0.01,136.44,136.46,136.44,3458,N.A.
19:45 - 19:50,136.45,0,136.45,136.46,136.44,3453,N.A.
19:50 - 19:55,136.45,0,136.45,136.47,136.43,3550,N.A.
19:55 - 20:00,136.47,0.02,136.45,136.48,136.45,2932,N.A.
20:00 - 20:05,136.5,0.03,136.47,136.5,136.43,4101,N.A.
20:05 - 20:10,136.49,-0.01,136.5,136.53,136.49,3918,N.A.
20:10 - 20:15,136.56,0.07,136.49,136.57,136.49,4156,N.A.
20:15 - 20:20,136.54,-0.02,136.56,136.57,136.52,3637,N.A.
20:20 - 20:25,136.53,-0.01,136.54,136.55,136.53,3531,N.A.
20:25 - 20:30,136.51,-0.02,136.53,136.54,136.51,3405,N.A.
20:30 - 20:35,136.5,-0.01,136.51,136.53,136.49,3417,N.A.
20:35 - 20:40,136.45,-0.05,136.5,136.5,136.45,3364,N.A.
20:40 - 20:45,136.44,-0.01,136.45,136.49,136.43,3931,N.A.
20:45 - 20:50,136.44,0,136.44,136.45,136.43,3180,N.A.
20:50 - 20:55,136.43,-0.01,136.44,136.46,136.39,3713,N.A.
20:55 - 21:00,136.41,-0.02,136.43,136.43,136.41,3643,N.A.
21:00 - 21:05,136.41,0,136.41,136.46,136.4,3632,N.A.
21:05 - 21:10,136.39,-0.02,136.41,136.42,136.38,3377,N.A.
21:10 - 21:15,136.39,0,136.39,136.42,136.39,3720,N.A.
21:15 - 21:20,136.36,-0.03,136.39,136.39,136.36,3592,N.A.
21:20 - 21:25,136.29,-0.07,136.36,136.36,136.24,4132,N.A.
21:25 - 21:30,136.23,-0.06,136.29,136.29,136.21,3794,N.A.
21:30 - 21:35,136.25,0.02,136.23,136.26,136.23,3810,N.A.
21:35 - 21:40,136.19,-0.06,136.25,136.25,136.16,4014,N.A.
21:40 - 21:45,136.1,-0.09,136.19,136.2,136.1,4491,N.A.
21:45 - 21:50,136.07,-0.03,136.1,136.11,136.06,4098,N.A.
21:50 - 21:55,136.11,0.04,136.07,136.11,136.07,4041,N.A.
21:55 - 22:00,136.02,-0.09,136.11,136.12,135.99,4737,N.A.
22:00 - 22:05,136.02,0,136.02,136.04,136,3703,N.A.
22:05 - 22:10,135.93,-0.09,136.02,136.02,135.92,4214,N.A.
22:10 - 22:15,136.01,0.08,135.93,136.03,135.93,4095,N.A.
22:15 - 22:20,136.05,0.04,136.01,136.07,135.98,3982,N.A.
22:20 - 22:25,136.05,0,136.05,136.05,136.02,3401,N.A.
22:25 - 22:30,136.06,0.01,136.05,136.07,136.03,3488,N.A.
22:30 - 22:35,136.03,-0.03,136.06,136.07,136.02,3802,N.A.
22:35 - 22:40,135.99,-0.04,136.03,136.04,135.99,3675,N.A.
22:40 - 22:45,136.04,0.05,135.99,136.05,135.99,3759,N.A.
22:45 - 22:50,136.02,-0.02,136.04,136.06,136.02,3427,N.A.
22:50 - 22:55,136.04,0.02,136.02,136.04,136.01,3585,N.A.
22:55 - 23:00,136.04,0,136.04,136.06,136.03,3482,N.A.
23:00 - 23:05,136.01,-0.03,136.04,136.04,136,3133,N.A.
23:05 - 23:10,136.04,0.03,136.01,136.04,136,3452,N.A.
23:10 - 23:15,136.04,0,136.04,136.05,136.01,3385,N.A.
23:15 - 23:20,136.06,0.02,136.04,136.07,136.03,3322,N.A.
23:20 - 23:25,136.05,-0.01,136.06,136.08,136.05,3501,N.A.
23:25 - 23:30,136.03,-0.02,136.05,136.06,136.03,3272,N.A.
23:30 - 23:35,136.07,0.04,136.03,136.08,136.03,3370,N.A.
23:35 - 23:40,136.07,0,136.07,136.09,136.07,3400,N.A.
23:40 - 23:45,136.09,0.02,136.07,136.11,136.07,3426,N.A.
23:45 - 23:50,136.09,0,136.09,136.09,136.06,3444,N.A.
23:50 - 23:55,136.06,-0.03,136.09,136.1,136.06,3278,N.A.
23:55 - 00:00,136.06,0,136.06,136.07,136.03,3293,N.A.
03MAY2023_00:00:00.000000,,,,,,,
00:00 - 00:05,136.05,-0.01,136.06,136.09,136.05,3430,N.A.
00:05 - 00:10,136.06,0.01,136.05,136.06,136.03,3308,N.A.
00:10 - 00:15,136.09,0.03,136.06,136.09,136.05,3502,N.A.
00:15 - 00:20,136.09,0,136.09,136.09,136.07,3105,N.A.
00:20 - 00:25,136.09,0,136.09,136.11,136.09,3086,N.A.
00:25 - 00:30,136.11,0.02,136.09,136.12,136.09,3132,N.A.
00:30 - 00:35,136.08,-0.03,136.11,136.11,136.08,3072,N.A.
00:35 - 00:40,136.07,-0.01,136.08,136.09,136.07,3063,N.A.
00:40 - 00:45,136.05,-0.02,136.07,136.07,136.05,3193,N.A.
00:45 - 00:50,136.05,0,136.05,136.07,136.03,3429,N.A.
00:50 - 00:55,136.05,0,136.05,136.06,136.03,3260,N.A.
00:55 - 01:00,136.06,0.01,136.05,136.06,136.05,3304,N.A.
01:00 - 01:05,136.04,-0.02,136.06,136.07,136.03,3518,N.A.
01:05 - 01:10,136.02,-0.02,136.04,136.05,136.01,3271,N.A.
01:10 - 01:15,136.02,0,136.02,136.05,136.01,3359,N.A.
01:15 - 01:20,136.02,0,136.02,136.02,136,3335,N.A.
01:20 - 01:25,136.02,0,136.02,136.03,136,3119,N.A.
01:25 - 01:30,135.97,-0.05,136.02,136.02,135.96,3128,N.A.
01:30 - 01:35,135.97,0,135.97,135.99,135.97,3241,N.A.
01:35 - 01:40,135.91,-0.06,135.97,135.97,135.88,4065,N.A.
01:40 - 01:45,135.92,0.01,135.91,135.95,135.91,3338,N.A.
01:45 - 01:50,135.96,0.04,135.92,135.96,135.92,3225,N.A.
01:50 - 01:55,135.96,0,135.96,135.98,135.96,3420,N.A.
01:55 - 02:00,135.94,-0.02,135.96,135.97,135.94,3296,N.A.
02:00 - 02:05,135.92,-0.02,135.94,135.99,135.91,4079,N.A.
02:05 - 02:10,136,0.08,135.92,136.02,135.91,4141,N.A.
02:10 - 02:15,136.04,0.04,136,136.07,136,4210,N.A.
02:15 - 02:20,136.08,0.04,136.04,136.08,136.02,4022,N.A.
02:20 - 02:25,136.08,0,136.08,136.08,136.04,3478,N.A.
02:25 - 02:30,136.04,-0.04,136.08,136.1,136.04,3782,N.A.
02:30 - 02:35,136.02,-0.02,136.04,136.05,136.02,3750,N.A.
02:35 - 02:40,136.01,-0.01,136.02,136.03,136,3615,N.A.
02:40 - 02:45,135.97,-0.04,136.01,136.01,135.94,4169,N.A.
02:45 - 02:50,135.93,-0.04,135.97,135.98,135.92,4465,N.A.
02:50 - 02:55,135.89,-0.04,135.93,135.94,135.88,4287,N.A.
02:55 - 03:00,135.87,-0.02,135.89,135.94,135.86,4355,N.A.
03:00 - 03:05,135.87,0,135.87,135.9,135.8,5386,N.A.
03:05 - 03:10,135.76,-0.11,135.87,135.87,135.76,5369,N.A.
