Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,148.34,0.48,147.86,148.36,147.48,996332,N.A.
19SEP2023_00:00:00.000000,,,,,,,
17:00 - 17:05,147.85,-0.01,147.86,147.86,147.84,1286,N.A.
17:05 - 17:10,147.84,-0.01,147.85,147.85,147.84,1449,N.A.
17:10 - 17:15,147.85,0.01,147.84,147.85,147.84,1478,N.A.
17:15 - 17:20,147.84,-0.01,147.85,147.85,147.84,1814,N.A.
17:20 - 17:25,147.85,0.01,147.84,147.85,147.82,2104,N.A.
17:25 - 17:30,147.86,0.01,147.85,147.86,147.85,1942,N.A.
17:30 - 17:35,147.86,0,147.86,147.86,147.86,2138,N.A.
17:35 - 17:40,147.86,0,147.86,147.86,147.86,1978,N.A.
17:40 - 17:45,147.86,0,147.86,147.86,147.86,1953,N.A.
17:45 - 17:50,147.79,-0.07,147.86,147.86,147.79,2434,N.A.
17:50 - 17:55,147.77,-0.02,147.79,147.82,147.74,3638,N.A.
17:55 - 18:00,147.78,0.01,147.77,147.8,147.76,2921,N.A.
18:00 - 18:05,147.75,-0.03,147.78,147.79,147.75,2875,N.A.
18:05 - 18:10,147.76,0.01,147.75,147.76,147.74,2529,N.A.
18:10 - 18:15,147.77,0.01,147.76,147.78,147.76,2371,N.A.
18:15 - 18:20,147.76,-0.01,147.77,147.78,147.76,2582,N.A.
18:20 - 18:25,147.76,0,147.76,147.77,147.76,2521,N.A.
18:25 - 18:30,147.75,-0.01,147.76,147.76,147.74,2825,N.A.
18:30 - 18:35,147.74,-0.01,147.75,147.76,147.74,2697,N.A.
18:35 - 18:40,147.73,-0.01,147.74,147.74,147.73,2600,N.A.
18:40 - 18:45,147.74,0.01,147.73,147.74,147.73,2447,N.A.
18:45 - 18:50,147.74,0,147.74,147.74,147.74,2336,N.A.
18:50 - 18:55,147.74,0,147.74,147.77,147.73,2716,N.A.
18:55 - 19:00,147.77,0.03,147.74,147.77,147.74,2403,N.A.
19:00 - 19:05,147.7,-0.07,147.77,147.78,147.7,3083,N.A.
19:05 - 19:10,147.71,0.01,147.7,147.73,147.69,2970,N.A.
19:10 - 19:15,147.7,-0.01,147.71,147.71,147.7,2588,N.A.
19:15 - 19:20,147.71,0.01,147.7,147.72,147.7,2615,N.A.
19:20 - 19:25,147.72,0.01,147.71,147.73,147.7,2520,N.A.
19:25 - 19:30,147.71,-0.01,147.72,147.74,147.71,2552,N.A.
19:30 - 19:35,147.74,0.03,147.71,147.75,147.71,2854,N.A.
19:35 - 19:40,147.76,0.02,147.74,147.76,147.74,2692,N.A.
19:40 - 19:45,147.76,0,147.76,147.77,147.76,2757,N.A.
19:45 - 19:50,147.76,0,147.76,147.76,147.74,2899,N.A.
19:50 - 19:55,147.76,0,147.76,147.76,147.75,2574,N.A.
19:55 - 20:00,147.76,0,147.76,147.77,147.74,2747,N.A.
20:00 - 20:05,147.75,-0.01,147.76,147.77,147.71,3671,N.A.
20:05 - 20:10,147.76,0.01,147.75,147.78,147.74,3224,N.A.
20:10 - 20:15,147.79,0.03,147.76,147.8,147.74,3255,N.A.
20:15 - 20:20,147.76,-0.03,147.79,147.79,147.75,3143,N.A.
20:20 - 20:25,147.8,0.04,147.76,147.8,147.76,3107,N.A.
20:25 - 20:30,147.78,-0.02,147.8,147.8,147.77,3116,N.A.
20:30 - 20:35,147.77,-0.01,147.78,147.79,147.75,3291,N.A.
20:35 - 20:40,147.8,0.03,147.77,147.81,147.77,3420,N.A.
20:40 - 20:45,147.8,0,147.8,147.81,147.79,3118,N.A.
20:45 - 20:50,147.8,0,147.8,147.81,147.8,3138,N.A.
20:50 - 20:55,147.78,-0.02,147.8,147.82,147.78,4096,N.A.
20:55 - 21:00,147.74,-0.04,147.78,147.78,147.74,3628,N.A.
21:00 - 21:05,147.74,0,147.74,147.75,147.71,3598,N.A.
21:05 - 21:10,147.78,0.04,147.74,147.78,147.74,3008,N.A.
21:10 - 21:15,147.82,0.04,147.78,147.84,147.78,4129,N.A.
21:15 - 21:20,147.8,-0.02,147.82,147.82,147.78,3385,N.A.
21:20 - 21:25,147.8,0,147.8,147.81,147.79,2921,N.A.
21:25 - 21:30,147.8,0,147.8,147.82,147.79,2913,N.A.
21:30 - 21:35,147.81,0.01,147.8,147.81,147.79,3266,N.A.
21:35 - 21:40,147.81,0,147.81,147.82,147.8,2894,N.A.
21:40 - 21:45,147.83,0.02,147.81,147.84,147.79,3435,N.A.
21:45 - 21:50,147.79,-0.04,147.83,147.83,147.79,3070,N.A.
21:50 - 21:55,147.75,-0.04,147.79,147.79,147.75,3271,N.A.
21:55 - 22:00,147.77,0.02,147.75,147.78,147.75,3101,N.A.
22:00 - 22:05,147.77,0,147.77,147.77,147.76,3163,N.A.
22:05 - 22:10,147.77,0,147.77,147.78,147.76,3135,N.A.
22:10 - 22:15,147.77,0,147.77,147.78,147.76,3037,N.A.
22:15 - 22:20,147.78,0.01,147.77,147.79,147.77,2866,N.A.
22:20 - 22:25,147.8,0.02,147.78,147.81,147.78,3126,N.A.
22:25 - 22:30,147.81,0.01,147.8,147.82,147.8,3062,N.A.
22:30 - 22:35,147.82,0.01,147.81,147.82,147.8,3050,N.A.
22:35 - 22:40,147.8,-0.02,147.82,147.82,147.79,2878,N.A.
22:40 - 22:45,147.83,0.03,147.8,147.85,147.8,2925,N.A.
22:45 - 22:50,147.81,-0.02,147.83,147.84,147.81,2966,N.A.
22:50 - 22:55,147.83,0.02,147.81,147.84,147.81,2926,N.A.
22:55 - 23:00,147.84,0.01,147.83,147.84,147.83,2913,N.A.
23:00 - 23:05,147.83,-0.01,147.84,147.84,147.83,2910,N.A.
23:05 - 23:10,147.83,0,147.83,147.83,147.82,2810,N.A.
23:10 - 23:15,147.83,0,147.83,147.84,147.83,2847,N.A.
23:15 - 23:20,147.81,-0.02,147.83,147.83,147.81,2792,N.A.
23:20 - 23:25,147.81,0,147.81,147.82,147.81,2757,N.A.
23:25 - 23:30,147.8,-0.01,147.81,147.81,147.8,2866,N.A.
23:30 - 23:35,147.82,0.02,147.8,147.82,147.8,2873,N.A.
