Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,146.99,0.51,146.48,147.05,145.49,1272746,N.A.
16SEP2025_00:00:00.000000,,,,,,,
17:00 - 17:05,146.47,-0.01,146.48,146.5,146.44,2085,N.A.
17:05 - 17:10,146.51,0.04,146.47,146.54,146.46,2932,N.A.
17:10 - 17:15,146.46,-0.05,146.51,146.54,146.45,2871,N.A.
17:15 - 17:20,146.45,-0.01,146.46,146.47,146.45,2616,N.A.
17:20 - 17:25,146.46,0.01,146.45,146.47,146.45,2637,N.A.
17:25 - 17:30,146.47,0.01,146.46,146.47,146.46,2588,N.A.
17:30 - 17:35,146.46,-0.01,146.47,146.47,146.44,3146,N.A.
17:35 - 17:40,146.46,0,146.46,146.46,146.45,3223,N.A.
17:40 - 17:45,146.46,0,146.46,146.46,146.45,2990,N.A.
17:45 - 17:50,146.46,0,146.46,146.46,146.45,3042,N.A.
17:50 - 17:55,146.47,0.01,146.46,146.47,146.46,3197,N.A.
17:55 - 18:00,146.47,0,146.47,146.48,146.45,3351,N.A.
18:00 - 18:05,146.46,-0.01,146.47,146.48,146.44,3483,N.A.
18:05 - 18:10,146.46,0,146.46,146.47,146.46,2882,N.A.
18:10 - 18:15,146.46,0,146.46,146.48,146.46,2965,N.A.
18:15 - 18:20,146.46,0,146.46,146.47,146.46,2873,N.A.
18:20 - 18:25,146.48,0.02,146.46,146.48,146.46,2982,N.A.
18:25 - 18:30,146.48,0,146.48,146.49,146.48,2958,N.A.
18:30 - 18:35,146.47,-0.01,146.48,146.49,146.47,2805,N.A.
18:35 - 18:40,146.46,-0.01,146.47,146.47,146.46,2877,N.A.
18:40 - 18:45,146.49,0.03,146.46,146.49,146.46,2863,N.A.
18:45 - 18:50,146.5,0.01,146.49,146.5,146.48,2908,N.A.
18:50 - 18:55,146.5,0,146.5,146.51,146.49,2960,N.A.
18:55 - 19:00,146.49,-0.01,146.5,146.52,146.49,3267,N.A.
19:00 - 19:05,146.46,-0.03,146.49,146.5,146.44,3533,N.A.
19:05 - 19:10,146.47,0.01,146.46,146.47,146.45,2995,N.A.
19:10 - 19:15,146.44,-0.03,146.47,146.48,146.44,3210,N.A.
19:15 - 19:20,146.41,-0.03,146.44,146.45,146.41,3721,N.A.
19:20 - 19:25,146.36,-0.05,146.41,146.41,146.36,3584,N.A.
19:25 - 19:30,146.36,0,146.36,146.37,146.33,3451,N.A.
19:30 - 19:35,146.37,0.01,146.36,146.37,146.34,3267,N.A.
19:35 - 19:40,146.32,-0.05,146.37,146.37,146.31,3325,N.A.
19:40 - 19:45,146.36,0.04,146.32,146.37,146.32,3588,N.A.
19:45 - 19:50,146.38,0.02,146.36,146.39,146.35,3516,N.A.
19:50 - 19:55,146.39,0.01,146.38,146.41,146.38,4012,N.A.
19:55 - 20:00,146.41,0.02,146.39,146.43,146.39,3690,N.A.
20:00 - 20:05,146.36,-0.05,146.41,146.44,146.32,5246,N.A.
20:05 - 20:10,146.31,-0.05,146.36,146.45,146.31,5319,N.A.
20:10 - 20:15,146.25,-0.06,146.31,146.31,146.24,4841,N.A.
20:15 - 20:20,146.25,0,146.25,146.27,146.21,4557,N.A.
20:20 - 20:25,146.26,0.01,146.25,146.3,146.25,3973,N.A.
20:25 - 20:30,146.27,0.01,146.26,146.3,146.25,4013,N.A.
20:30 - 20:35,146.32,0.05,146.27,146.34,146.27,4144,N.A.
20:35 - 20:40,146.41,0.09,146.32,146.41,146.32,4746,N.A.
20:40 - 20:45,146.5,0.09,146.41,146.5,146.4,4332,N.A.
20:45 - 20:50,146.45,-0.05,146.5,146.53,146.45,4772,N.A.
20:50 - 20:55,146.5,0.05,146.45,146.53,146.45,5988,N.A.
20:55 - 21:00,146.54,0.04,146.5,146.57,146.46,5065,N.A.
21:00 - 21:05,146.53,-0.01,146.54,146.55,146.5,4513,N.A.
21:05 - 21:10,146.47,-0.06,146.53,146.54,146.46,4362,N.A.
21:10 - 21:15,146.48,0.01,146.47,146.5,146.47,4217,N.A.
21:15 - 21:20,146.47,-0.01,146.48,146.55,146.47,4806,N.A.
21:20 - 21:25,146.49,0.02,146.47,146.5,146.43,4369,N.A.
21:25 - 21:30,146.54,0.05,146.49,146.55,146.46,4037,N.A.
21:30 - 21:35,146.59,0.05,146.54,146.6,146.52,4623,N.A.
21:35 - 21:40,146.55,-0.04,146.59,146.61,146.55,4418,N.A.
21:40 - 21:45,146.56,0.01,146.55,146.57,146.55,3830,N.A.
21:45 - 21:50,146.53,-0.03,146.56,146.58,146.51,4069,N.A.
21:50 - 21:55,146.51,-0.02,146.53,146.55,146.5,3987,N.A.
21:55 - 22:00,146.5,-0.01,146.51,146.51,146.48,3841,N.A.
22:00 - 22:05,146.54,0.04,146.5,146.56,146.5,4059,N.A.
22:05 - 22:10,146.52,-0.02,146.54,146.55,146.5,4082,N.A.
22:10 - 22:15,146.53,0.01,146.52,146.54,146.52,3889,N.A.
22:15 - 22:20,146.53,0,146.53,146.55,146.52,3684,N.A.
22:20 - 22:25,146.54,0.01,146.53,146.54,146.51,3833,N.A.
22:25 - 22:30,146.54,0,146.54,146.54,146.52,3407,N.A.
22:30 - 22:35,146.55,0.01,146.54,146.56,146.52,3764,N.A.
22:35 - 22:40,146.59,0.04,146.55,146.59,146.54,3671,N.A.
22:40 - 22:45,146.53,-0.06,146.59,146.59,146.52,3883,N.A.
22:45 - 22:50,146.54,0.01,146.53,146.55,146.53,3449,N.A.
22:50 - 22:55,146.51,-0.03,146.54,146.54,146.5,3748,N.A.
22:55 - 23:00,146.54,0.03,146.51,146.55,146.51,3560,N.A.
23:00 - 23:05,146.56,0.02,146.54,146.57,146.54,3566,N.A.
23:05 - 23:10,146.54,-0.02,146.56,146.56,146.54,3467,N.A.
23:10 - 23:15,146.52,-0.02,146.54,146.55,146.51,3354,N.A.
23:15 - 23:20,146.52,0,146.52,146.53,146.5,3447,N.A.
23:20 - 23:25,146.51,-0.01,146.52,146.52,146.5,3425,N.A.
23:25 - 23:30,146.52,0.01,146.51,146.53,146.51,3584,N.A.
23:30 - 23:35,146.53,0.01,146.52,146.53,146.5,3378,N.A.
23:35 - 23:40,146.5,-0.03,146.53,146.53,146.48,3547,N.A.
23:40 - 23:45,146.5,0,146.5,146.51,146.49,3507,N.A.
23:45 - 23:50,146.52,0.02,146.5,146.52,146.49,3355,N.A.
23:50 - 23:55,146.54,0.02,146.52,146.54,146.52,3428,N.A.
23:55 - 00:00,146.53,-0.01,146.54,146.55,146.53,3222,N.A.
17SEP2025_00:00:00.000000,,,,,,,
