Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,152.73,0.62,152.11,153.06,151.54,1328127,N.A.
28OCT2025_00:00:00.000000,,,,,,,
17:00 - 17:05,152.12,0.01,152.11,152.12,152.11,2051,N.A.
17:05 - 17:10,152.08,-0.04,152.12,152.12,152.08,2727,N.A.
17:10 - 17:15,152.07,-0.01,152.08,152.08,152.07,2808,N.A.
17:15 - 17:20,152.07,0,152.07,152.08,152.06,2721,N.A.
17:20 - 17:25,152.09,0.02,152.07,152.09,152.06,2765,N.A.
17:25 - 17:30,152.08,-0.01,152.09,152.09,152.08,2654,N.A.
17:30 - 17:35,152.09,0.01,152.08,152.09,152.08,2719,N.A.
17:35 - 17:40,152.08,-0.01,152.09,152.09,152.08,2729,N.A.
17:40 - 17:45,152.07,-0.01,152.08,152.08,152.07,2978,N.A.
17:45 - 17:50,152.07,0,152.07,152.07,152.06,4436,N.A.
17:50 - 17:55,152.11,0.04,152.07,152.14,152.07,3023,N.A.
17:55 - 18:00,152.07,-0.04,152.11,152.12,152.07,2847,N.A.
18:00 - 18:05,152.13,0.06,152.07,152.13,152.07,3159,N.A.
18:05 - 18:10,152.16,0.03,152.13,152.16,152.12,3089,N.A.
18:10 - 18:15,152.16,0,152.16,152.16,152.14,3156,N.A.
18:15 - 18:20,152.16,0,152.16,152.16,152.15,2921,N.A.
18:20 - 18:25,152.15,-0.01,152.16,152.16,152.14,3015,N.A.
18:25 - 18:30,152.14,-0.01,152.15,152.16,152.13,3050,N.A.
18:30 - 18:35,152.14,0,152.14,152.14,152.14,2826,N.A.
18:35 - 18:40,152.15,0.01,152.14,152.16,152.14,2962,N.A.
18:40 - 18:45,152.16,0.01,152.15,152.16,152.15,2778,N.A.
18:45 - 18:50,152.17,0.01,152.16,152.18,152.16,2980,N.A.
18:50 - 18:55,152.18,0.01,152.17,152.18,152.16,2935,N.A.
18:55 - 19:00,152.17,-0.01,152.18,152.18,152.17,2850,N.A.
19:00 - 19:05,152.16,-0.01,152.18,152.18,152.16,2875,N.A.
19:05 - 19:10,152.14,-0.02,152.16,152.16,152.14,2826,N.A.
19:10 - 19:15,152.1,-0.04,152.14,152.14,152.1,2870,N.A.
19:15 - 19:20,152.13,0.03,152.1,152.13,152.1,2901,N.A.
19:20 - 19:25,152.17,0.04,152.13,152.17,152.12,2900,N.A.
19:25 - 19:30,152.18,0.01,152.17,152.18,152.16,3010,N.A.
19:30 - 19:35,152.17,-0.01,152.18,152.2,152.17,3224,N.A.
19:35 - 19:40,152.15,-0.02,152.17,152.17,152.15,3336,N.A.
19:40 - 19:45,152.11,-0.04,152.15,152.15,152.11,3450,N.A.
19:45 - 19:50,152.12,0.01,152.11,152.13,152.09,3681,N.A.
19:50 - 19:55,151.95,-0.17,152.12,152.2,151.93,5643,N.A.
19:55 - 20:00,151.74,-0.21,151.95,151.95,151.73,5898,N.A.
20:00 - 20:05,151.56,-0.18,151.74,151.76,151.56,7681,N.A.
