Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,118.73,0.43,118.3,119.12,118.18,1001466,N.A.
15MAR2022_00:00:00.000000,,,,,,,
17:00 - 17:05,118.31,0.01,118.3,118.31,118.3,2281,N.A.
17:05 - 17:10,118.3,-0.01,118.31,118.31,118.29,2594,N.A.
17:10 - 17:15,118.31,0.01,118.3,118.31,118.3,2555,N.A.
17:15 - 17:20,118.31,0,118.31,118.31,118.31,2564,N.A.
17:20 - 17:25,118.32,0.01,118.31,118.32,118.31,2496,N.A.
17:25 - 17:30,118.31,-0.01,118.32,118.32,118.31,2432,N.A.
17:30 - 17:35,118.32,0.01,118.31,118.32,118.31,2545,N.A.
17:35 - 17:40,118.34,0.02,118.32,118.34,118.32,2873,N.A.
17:40 - 17:45,118.33,-0.01,118.34,118.34,118.33,3049,N.A.
17:45 - 17:50,118.32,-0.01,118.33,118.33,118.31,2657,N.A.
17:50 - 17:55,118.31,-0.01,118.32,118.32,118.3,3003,N.A.
17:55 - 18:00,118.31,0,118.31,118.31,118.3,3050,N.A.
18:00 - 18:05,118.31,0,118.31,118.31,118.31,2791,N.A.
18:05 - 18:10,118.31,0,118.31,118.31,118.31,2514,N.A.
18:10 - 18:15,118.31,0,118.31,118.31,118.3,2432,N.A.
18:15 - 18:20,118.31,0,118.31,118.31,118.3,2698,N.A.
18:20 - 18:25,118.33,0.02,118.31,118.33,118.31,2539,N.A.
18:25 - 18:30,118.33,0,118.33,118.33,118.32,2999,N.A.
18:30 - 18:35,118.35,0.02,118.33,118.35,118.32,2867,N.A.
18:35 - 18:40,118.34,-0.01,118.35,118.35,118.32,2930,N.A.
18:40 - 18:45,118.33,-0.01,118.34,118.35,118.33,2763,N.A.
18:45 - 18:50,118.32,-0.01,118.33,118.34,118.32,2789,N.A.
18:50 - 18:55,118.31,-0.01,118.32,118.33,118.31,2593,N.A.
18:55 - 19:00,118.31,0,118.31,118.32,118.31,2546,N.A.
19:00 - 19:05,118.31,0,118.31,118.32,118.31,2777,N.A.
19:05 - 19:10,118.31,0,118.31,118.31,118.3,2594,N.A.
19:10 - 19:15,118.31,0,118.31,118.31,118.3,2526,N.A.
19:15 - 19:20,118.31,0,118.31,118.31,118.3,2465,N.A.
19:20 - 19:25,118.29,-0.02,118.31,118.31,118.29,2653,N.A.
19:25 - 19:30,118.29,0,118.29,118.29,118.28,2501,N.A.
19:30 - 19:35,118.29,0,118.29,118.29,118.29,2530,N.A.
19:35 - 19:40,118.29,0,118.29,118.3,118.28,3117,N.A.
19:40 - 19:45,118.28,-0.01,118.29,118.3,118.28,3061,N.A.
19:45 - 19:50,118.29,0.01,118.28,118.3,118.28,3012,N.A.
19:50 - 19:55,118.3,0.01,118.29,118.3,118.29,2880,N.A.
19:55 - 20:00,118.31,0.01,118.3,118.32,118.29,2775,N.A.
20:00 - 20:05,118.33,0.02,118.31,118.34,118.31,3323,N.A.
20:05 - 20:10,118.35,0.02,118.33,118.35,118.32,3213,N.A.
20:10 - 20:15,118.35,0,118.35,118.35,118.34,3028,N.A.
20:15 - 20:20,118.36,0.01,118.35,118.37,118.35,3162,N.A.
20:20 - 20:25,118.37,0.01,118.36,118.38,118.36,3052,N.A.
20:25 - 20:30,118.36,-0.01,118.37,118.38,118.35,3151,N.A.
20:30 - 20:35,118.36,0,118.36,118.37,118.36,2746,N.A.
20:35 - 20:40,118.35,-0.01,118.36,118.37,118.34,2838,N.A.
20:40 - 20:45,118.38,0.03,118.35,118.39,118.35,2982,N.A.
20:45 - 20:50,118.38,0,118.38,118.38,118.37,2890,N.A.
20:50 - 20:55,118.38,0,118.38,118.4,118.38,3709,N.A.
20:55 - 21:00,118.42,0.04,118.38,118.43,118.38,3723,N.A.
21:00 - 21:05,118.38,-0.04,118.42,118.42,118.38,3311,N.A.
21:05 - 21:10,118.37,-0.01,118.38,118.39,118.37,3649,N.A.
21:10 - 21:15,118.33,-0.04,118.37,118.37,118.33,3979,N.A.
21:15 - 21:20,118.31,-0.02,118.33,118.33,118.3,3962,N.A.
21:20 - 21:25,118.31,0,118.31,118.33,118.31,3672,N.A.
21:25 - 21:30,118.31,0,118.31,118.32,118.3,3706,N.A.
21:30 - 21:35,118.31,0,118.31,118.33,118.3,3642,N.A.
21:35 - 21:40,118.33,0.02,118.31,118.35,118.31,3856,N.A.
21:40 - 21:45,118.33,0,118.34,118.34,118.32,3693,N.A.
21:45 - 21:50,118.29,-0.04,118.33,118.34,118.29,3818,N.A.
21:50 - 21:55,118.26,-0.03,118.29,118.29,118.25,3973,N.A.
21:55 - 22:00,118.27,0.01,118.26,118.29,118.25,3858,N.A.
22:00 - 22:05,118.26,-0.01,118.27,118.29,118.26,3112,N.A.
22:05 - 22:10,118.22,-0.04,118.26,118.26,118.22,3306,N.A.
22:10 - 22:15,118.24,0.02,118.22,118.25,118.21,3403,N.A.
22:15 - 22:20,118.24,0,118.24,118.24,118.22,3002,N.A.
22:20 - 22:25,118.25,0.01,118.24,118.26,118.23,2944,N.A.
22:25 - 22:30,118.25,0,118.25,118.26,118.25,3068,N.A.
22:30 - 22:35,118.23,-0.02,118.25,118.25,118.23,3091,N.A.
22:35 - 22:40,118.25,0.02,118.23,118.25,118.23,3033,N.A.
22:40 - 22:45,118.24,-0.01,118.25,118.26,118.24,2855,N.A.
22:45 - 22:50,118.24,0,118.24,118.25,118.22,3109,N.A.
22:50 - 22:55,118.25,0.01,118.24,118.26,118.24,2970,N.A.
22:55 - 23:00,118.23,-0.02,118.25,118.26,118.23,2980,N.A.
23:00 - 23:05,118.24,0.01,118.23,118.24,118.23,2853,N.A.
23:05 - 23:10,118.24,0,118.24,118.25,118.24,2990,N.A.
23:10 - 23:15,118.25,0.01,118.24,118.25,118.23,2890,N.A.
