Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,155.22,-0.32,155.54,155.79,154.94,1141341,N.A.
28JAN2025_00:00:00.000000,,,,,,,
17:00 - 17:05,155.53,-0.01,155.54,155.58,155.52,1970,N.A.
17:05 - 17:10,155.53,0,155.53,155.54,155.53,2200,N.A.
17:10 - 17:15,155.54,0.01,155.53,155.54,155.53,2288,N.A.
17:15 - 17:20,155.54,0,155.54,155.54,155.54,2240,N.A.
17:20 - 17:25,155.54,0,155.54,155.54,155.54,2296,N.A.
17:25 - 17:30,155.54,0,155.54,155.54,155.53,2426,N.A.
17:30 - 17:35,155.54,0,155.54,155.54,155.54,2357,N.A.
17:35 - 17:40,155.54,0,155.54,155.55,155.54,2267,N.A.
17:40 - 17:45,155.55,0.01,155.54,155.55,155.54,2350,N.A.
17:45 - 17:50,155.55,0,155.55,155.56,155.54,2429,N.A.
17:50 - 17:55,155.55,0,155.55,155.55,155.54,2473,N.A.
17:55 - 18:00,155.55,0,155.55,155.55,155.54,2524,N.A.
18:00 - 18:05,155.53,-0.02,155.55,155.55,155.51,2929,N.A.
18:05 - 18:10,155.57,0.04,155.53,155.58,155.52,2896,N.A.
18:10 - 18:15,155.56,-0.01,155.57,155.59,155.56,2765,N.A.
18:15 - 18:20,155.57,0.01,155.56,155.6,155.55,2927,N.A.
18:20 - 18:25,155.56,-0.01,155.57,155.57,155.55,3064,N.A.
18:25 - 18:30,155.56,0,155.56,155.56,155.55,2897,N.A.
18:30 - 18:35,155.56,0,155.56,155.57,155.55,2911,N.A.
18:35 - 18:40,155.57,0.01,155.56,155.57,155.56,2837,N.A.
18:40 - 18:45,155.59,0.02,155.57,155.59,155.56,2724,N.A.
18:45 - 18:50,155.58,-0.01,155.59,155.61,155.57,3294,N.A.
18:50 - 18:55,155.57,-0.01,155.58,155.6,155.56,3414,N.A.
18:55 - 19:00,155.57,0,155.57,155.57,155.54,3324,N.A.
19:00 - 19:05,155.51,-0.06,155.57,155.58,155.46,4402,N.A.
19:05 - 19:10,155.44,-0.07,155.51,155.51,155.44,3835,N.A.
19:10 - 19:15,155.51,0.07,155.44,155.52,155.43,3655,N.A.
19:15 - 19:20,155.57,0.06,155.51,155.57,155.49,3860,N.A.
19:20 - 19:25,155.62,0.05,155.57,155.63,155.57,3821,N.A.
19:25 - 19:30,155.61,-0.01,155.62,155.63,155.58,3360,N.A.
19:30 - 19:35,155.54,-0.07,155.61,155.62,155.51,4986,N.A.
19:35 - 19:40,155.56,0.02,155.54,155.62,155.52,3836,N.A.
19:40 - 19:45,155.53,-0.03,155.56,155.57,155.53,3534,N.A.
19:45 - 19:50,155.57,0.04,155.53,155.57,155.5,3402,N.A.
19:50 - 19:55,155.62,0.05,155.57,155.63,155.5,5003,N.A.
19:55 - 20:00,155.63,0.01,155.62,155.65,155.58,4379,N.A.
20:00 - 20:05,155.68,0.05,155.63,155.69,155.59,4114,N.A.
20:05 - 20:10,155.78,0.1,155.68,155.79,155.68,3817,N.A.
20:10 - 20:15,155.73,-0.05,155.78,155.79,155.72,3825,N.A.
20:15 - 20:20,155.72,-0.01,155.73,155.75,155.7,3522,N.A.
20:20 - 20:25,155.66,-0.06,155.72,155.72,155.65,3803,N.A.
20:25 - 20:30,155.67,0.01,155.66,155.68,155.64,3320,N.A.
20:30 - 20:35,155.67,0,155.67,155.7,155.65,3343,N.A.
20:35 - 20:40,155.68,0.01,155.67,155.68,155.64,3300,N.A.
20:40 - 20:45,155.68,0,155.68,155.69,155.66,3255,N.A.
20:45 - 20:50,155.67,-0.01,155.68,155.69,155.65,3215,N.A.
20:50 - 20:55,155.71,0.04,155.67,155.72,155.66,3400,N.A.
20:55 - 21:00,155.72,0.01,155.71,155.72,155.68,3250,N.A.
21:00 - 21:05,155.71,-0.01,155.72,155.78,155.71,3835,N.A.
21:05 - 21:10,155.72,0.01,155.71,155.74,155.7,3559,N.A.
21:10 - 21:15,155.65,-0.07,155.72,155.72,155.65,3487,N.A.
21:15 - 21:20,155.61,-0.04,155.65,155.66,155.59,3377,N.A.
21:20 - 21:25,155.62,0.01,155.61,155.63,155.61,3080,N.A.
21:25 - 21:30,155.62,0,155.62,155.64,155.61,3099,N.A.
21:30 - 21:35,155.62,0,155.62,155.62,155.61,2985,N.A.
21:35 - 21:40,155.61,-0.01,155.62,155.63,155.61,3095,N.A.
21:40 - 21:45,155.65,0.04,155.61,155.65,155.6,3448,N.A.
21:45 - 21:50,155.62,-0.03,155.65,155.65,155.6,3427,N.A.
21:50 - 21:55,155.61,-0.01,155.62,155.64,155.61,3577,N.A.
21:55 - 22:00,155.62,0.01,155.61,155.65,155.6,3962,N.A.
22:00 - 22:05,155.61,-0.01,155.62,155.62,155.6,3302,N.A.
22:05 - 22:10,155.57,-0.04,155.61,155.61,155.56,3431,N.A.
22:10 - 22:15,155.57,0,155.57,155.58,155.55,3270,N.A.
22:15 - 22:20,155.57,0,155.57,155.58,155.55,3356,N.A.
22:20 - 22:25,155.5,-0.07,155.57,155.57,155.5,3406,N.A.
22:25 - 22:30,155.45,-0.05,155.5,155.51,155.45,3427,N.A.
22:30 - 22:35,155.44,-0.01,155.45,155.47,155.4,4023,N.A.
22:35 - 22:40,155.37,-0.07,155.44,155.44,155.34,3958,N.A.
22:40 - 22:45,155.38,0.01,155.37,155.39,155.33,3729,N.A.
22:45 - 22:50,155.42,0.04,155.38,155.43,155.33,3986,N.A.
22:50 - 22:55,155.39,-0.03,155.42,155.43,155.36,3597,N.A.
22:55 - 23:00,155.43,0.04,155.39,155.46,155.36,3911,N.A.
23:00 - 23:05,155.37,-0.06,155.43,155.43,155.37,3352,N.A.
23:05 - 23:10,155.37,0,155.37,155.39,155.34,3369,N.A.
23:10 - 23:15,155.33,-0.04,155.37,155.37,155.31,3325,N.A.
23:15 - 23:20,155.35,0.02,155.33,155.38,155.33,3413,N.A.
23:20 - 23:25,155.37,0.02,155.35,155.37,155.34,3189,N.A.
23:25 - 23:30,155.37,0,155.37,155.39,155.36,3129,N.A.
23:30 - 23:35,155.35,-0.02,155.37,155.38,155.32,3359,N.A.
23:35 - 23:40,155.33,-0.02,155.35,155.36,155.32,3168,N.A.
23:40 - 23:45,155.35,0.02,155.33,155.36,155.32,3350,N.A.
23:45 - 23:50,155.27,-0.08,155.35,155.36,155.27,3406,N.A.
23:50 - 23:55,155.31,0.04,155.27,155.31,155.23,3542,N.A.
23:55 - 00:00,155.3,-0.01,155.31,155.31,155.27,3221,N.A.
29JAN2025_00:00:00.000000,,,,,,,
00:00 - 00:05,155.23,-0.07,155.3,155.3,155.23,3285,N.A.
00:05 - 00:10,155.26,0.03,155.23,155.26,155.21,3429,N.A.
00:10 - 00:15,155.24,-0.02,155.26,155.26,155.22,3359,N.A.
00:15 - 00:20,155.24,0,155.24,155.26,155.21,3342,N.A.
00:20 - 00:25,155.19,-0.05,155.24,155.26,155.19,3430,N.A.
00:25 - 00:30,155.17,-0.02,155.19,155.19,155.15,3521,N.A.
00:30 - 00:35,155.12,-0.05,155.17,155.18,155.12,3494,N.A.
00:35 - 00:40,155.06,-0.06,155.12,155.14,155.06,3574,N.A.
00:40 - 00:45,155.12,0.06,155.06,155.12,155.06,3457,N.A.
00:45 - 00:50,155.07,-0.05,155.12,155.12,155.06,3598,N.A.
00:50 - 00:55,155.09,0.02,155.07,155.13,155.07,3408,N.A.
00:55 - 01:00,155.02,-0.07,155.09,155.1,155,4232,N.A.
01:00 - 01:05,155.09,0.07,155.02,155.11,155,5585,N.A.
01:05 - 01:10,155.18,0.09,155.09,155.18,155.09,4975,N.A.
01:10 - 01:15,155.16,-0.02,155.18,155.18,155.12,3901,N.A.
01:15 - 01:20,155.14,-0.02,155.16,155.19,155.14,3641,N.A.
01:20 - 01:25,155.19,0.05,155.14,155.19,155.14,3339,N.A.
01:25 - 01:30,155.22,0.03,155.19,155.22,155.16,4127,N.A.
01:30 - 01:35,155.26,0.04,155.22,155.28,155.22,4086,N.A.
01:35 - 01:40,155.25,-0.01,155.26,155.28,155.25,3416,N.A.
01:40 - 01:45,155.28,0.03,155.25,155.31,155.25,3784,N.A.
01:45 - 01:50,155.26,-0.02,155.28,155.31,155.26,3679,N.A.
01:50 - 01:55,155.24,-0.02,155.26,155.29,155.23,3826,N.A.
01:55 - 02:00,155.23,-0.01,155.24,155.26,155.22,3602,N.A.
02:00 - 02:05,155.26,0.03,155.23,155.29,155.16,4373,N.A.
02:05 - 02:10,155.31,0.05,155.26,155.33,155.24,4270,N.A.
02:10 - 02:15,155.2,-0.11,155.31,155.32,155.2,4406,N.A.
02:15 - 02:20,155.17,-0.03,155.2,155.22,155.14,4035,N.A.
02:20 - 02:25,155.29,0.12,155.17,155.29,155.17,3965,N.A.
02:25 - 02:30,155.29,0,155.29,155.33,155.29,3833,N.A.
02:30 - 02:35,155.38,0.09,155.29,155.41,155.29,4288,N.A.
02:35 - 02:40,155.33,-0.05,155.38,155.38,155.31,4199,N.A.
02:40 - 02:45,155.28,-0.05,155.33,155.34,155.18,5890,N.A.
02:45 - 02:50,155.36,0.08,155.28,155.4,155.26,4420,N.A.
02:50 - 02:55,155.34,-0.02,155.36,155.36,155.32,3923,N.A.
02:55 - 03:00,155.3,-0.04,155.34,155.35,155.27,4543,N.A.
03:00 - 03:05,155.3,0,155.3,155.31,155.23,4716,N.A.
03:05 - 03:10,155.2,-0.1,155.3,155.34,155.17,5186,N.A.
03:10 - 03:15,155.13,-0.07,155.2,155.2,155.1,4610,N.A.
03:15 - 03:20,155.1,-0.03,155.13,155.13,155.01,5022,N.A.
03:20 - 03:25,155.18,0.08,155.1,155.19,155.03,4386,N.A.
03:25 - 03:30,155.22,0.04,155.18,155.24,155.18,3995,N.A.
03:30 - 03:35,155.22,0,155.22,155.26,155.22,3931,N.A.
03:35 - 03:40,155.16,-0.06,155.22,155.24,155.14,4675,N.A.
03:40 - 03:45,155.16,0,155.16,155.2,155.13,3984,N.A.
03:45 - 03:50,155.17,0.01,155.16,155.2,155.11,4075,N.A.
03:50 - 03:55,155.17,0,155.17,155.2,155.12,4115,N.A.
03:55 - 04:00,155.14,-0.03,155.17,155.19,155.14,3833,N.A.
04:00 - 04:05,155.24,0.1,155.14,155.24,155.09,4767,N.A.
04:05 - 04:10,155.27,0.03,155.24,155.29,155.21,4704,N.A.
04:10 - 04:15,155.29,0.02,155.27,155.3,155.24,3932,N.A.
