Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,4.9602,-0.0749,5.0309,5.0352,4.9227,23746,N.A.
30APR2024_00:00:00.000000,,,,,,,
20:00 - 20:05,5.0268,-0.0083,5.0309,5.0309,5.0268,49,N.A.
20:05 - 20:10,5.0288,0.002,5.0268,5.0288,5.0268,87,N.A.
20:10 - 20:15,5.0288,0,5.0288,5.0288,5.0288,27,N.A.
20:15 - 20:20,5.0288,0,5.0288,5.0288,5.0268,61,N.A.
20:20 - 20:25,5.0288,0,5.0288,5.0288,5.0288,44,N.A.
20:25 - 20:30,5.0288,0,5.0288,5.0288,5.0288,44,N.A.
20:30 - 20:35,5.0247,-0.0041,5.0288,5.0288,5.0247,66,N.A.
20:35 - 20:40,5.0247,0,5.0247,5.0268,5.0247,89,N.A.
20:40 - 20:45,5.0247,0,5.0247,5.0268,5.0226,83,N.A.
20:45 - 20:50,5.0226,-0.0021,5.0247,5.0247,5.0226,75,N.A.
20:50 - 20:55,5.0226,0,5.0226,5.0226,5.0205,78,N.A.
20:55 - 21:00,5.0226,0,5.0226,5.0226,5.0226,53,N.A.
21:00 - 21:05,5.0247,0.0021,5.0226,5.0247,5.0226,75,N.A.
21:05 - 21:10,5.0247,0,5.0247,5.0268,5.0247,81,N.A.
21:10 - 21:15,5.0247,0,5.0247,5.0247,5.0226,88,N.A.
21:15 - 21:20,5.0247,0,5.0247,5.0247,5.0247,83,N.A.
21:20 - 21:25,5.0247,0,5.0247,5.0268,5.0247,70,N.A.
21:25 - 21:30,5.0247,0,5.0247,5.0247,5.0226,61,N.A.
21:30 - 21:35,5.0247,0,5.0247,5.0247,5.0226,77,N.A.
21:35 - 21:40,5.0226,-0.0021,5.0247,5.0247,5.0226,53,N.A.
21:40 - 21:45,5.0226,0,5.0226,5.0226,5.0226,65,N.A.
21:45 - 21:50,5.0205,-0.0021,5.0226,5.0226,5.0205,98,N.A.
21:50 - 21:55,5.0226,0.0021,5.0205,5.0226,5.0205,54,N.A.
21:55 - 22:00,5.0247,0.0021,5.0226,5.0247,5.0226,53,N.A.
22:00 - 22:05,5.0226,-0.0021,5.0247,5.0247,5.0226,48,N.A.
22:05 - 22:10,5.0247,0.0021,5.0226,5.0268,5.0226,50,N.A.
22:10 - 22:15,5.0247,0,5.0247,5.0247,5.0247,41,N.A.
22:15 - 22:20,5.0226,-0.0021,5.0247,5.0247,5.0226,67,N.A.
22:20 - 22:25,5.0226,0,5.0226,5.0226,5.0226,54,N.A.
22:25 - 22:30,5.0226,0,5.0226,5.0226,5.0205,57,N.A.
22:30 - 22:35,5.0247,0.0021,5.0226,5.0247,5.0226,53,N.A.
22:35 - 22:40,5.0247,0,5.0247,5.0247,5.0226,65,N.A.
22:40 - 22:45,5.0247,0,5.0247,5.0247,5.0247,38,N.A.
22:45 - 22:50,5.0247,0,5.0247,5.0247,5.0247,41,N.A.
22:50 - 22:55,5.0247,0,5.0247,5.0268,5.0247,42,N.A.
22:55 - 23:00,5.0247,0,5.0247,5.0247,5.0226,61,N.A.
23:00 - 23:05,5.0247,0,5.0247,5.0247,5.0247,44,N.A.
23:05 - 23:10,5.0247,0,5.0247,5.0268,5.0247,72,N.A.
23:10 - 23:15,5.0247,0,5.0247,5.0247,5.0247,39,N.A.
23:15 - 23:20,5.0247,0,5.0247,5.0247,5.0247,53,N.A.
